Feature_Name,ILFS_Importance_Value
tqwt_minValue_dec_18,(15.051336066515073+0j)
tqwt_maxValue_dec_25,(14.874850224624412+0j)
app_entropy_shannon_6_coef,(14.256753612771647+0j)
app_entropy_shannon_4_coef,(14.256531251538103+0j)
tqwt_TKEO_std_dec_21,(14.216344514357823+0j)
app_TKEO_std_2_coef,(14.204870669029344+0j)
tqwt_stdValue_dec_8,(14.16678251943258+0j)
tqwt_stdValue_dec_27,(14.147813294172101+0j)
app_entropy_log_5_coef,(14.115213940833499+0j)
tqwt_maxValue_dec_28,(14.099805990453179+0j)
tqwt_maxValue_dec_3,(14.095130876027028+0j)
tqwt_minValue_dec_24,(14.084628270822455+0j)
tqwt_maxValue_dec_30,(14.065110895854307+0j)
app_det_TKEO_mean_1_coef,(14.0424166018589+0j)
tqwt_entropy_shannon_dec_10,(14.031967901332628+0j)
tqwt_stdValue_dec_3,(14.027150551495843+0j)
app_entropy_log_2_coef,(14.017830316114598+0j)
VFER_std,(13.966232797163066+0j)
app_LT_entropy_log_4_coef,(13.939533937587335+0j)
det_entropy_log_1_coef,(13.931331111419848+0j)
tqwt_maxValue_dec_33,(13.931036675276488+0j)
tqwt_entropy_shannon_dec_2,(13.927829790773163+0j)
tqwt_entropy_shannon_dec_31,(13.927002369298709+0j)
tqwt_stdValue_dec_11,(13.9257211916151+0j)
tqwt_entropy_shannon_dec_4,(13.924370380387872+0j)
tqwt_TKEO_mean_dec_28,(13.924218836546729+0j)
std_MFCC_11th_coef,(13.916522636169518+0j)
app_LT_entropy_log_3_coef,(13.91305201883986+0j)
app_LT_entropy_log_1_coef,(13.90883516444423+0j)
tqwt_kurtosisValue_dec_5,(13.900975518674926+0j)
tqwt_entropy_shannon_dec_36,(13.894600697576344+0j)
apq11Shimmer,(13.890688031284112+0j)
tqwt_TKEO_mean_dec_4,(13.880476885174074+0j)
tqwt_kurtosisValue_dec_4,(13.880473736236965+0j)
tqwt_entropy_shannon_dec_27,(13.878914373901525+0j)
f2,(13.878305072033083+0j)
det_entropy_log_4_coef,(13.877637597289105+0j)
tqwt_TKEO_std_dec_4,(13.865709493995148+0j)
tqwt_TKEO_std_dec_29,(13.863166109778387+0j)
tqwt_stdValue_dec_33,(13.86211000981706+0j)
GQ_prc5_95,(13.862061118983997+0j)
tqwt_entropy_shannon_dec_11,(13.85480830862933+0j)
Ed2_1_coef,(13.851631802001583+0j)
det_TKEO_std_6_coef,(13.85135057128122+0j)
det_TKEO_std_3_coef,(13.847202594196172+0j)
Ed2_5_coef,(13.84677176789954+0j)
mean_9th_delta,(13.846718233922997+0j)
tqwt_TKEO_mean_dec_12,(13.845997465080169+0j)
meanHarmToNoiseHarmonicity,(13.842159796322253+0j)
Ea,(13.84145949539947+0j)
tqwt_entropy_shannon_dec_32,(13.840387971206669+0j)
det_entropy_shannon_7_coef,(13.839131028745113+0j)
tqwt_skewnessValue_dec_19,(13.837928529631665+0j)
det_TKEO_std_10_coef,(13.837671737335615+0j)
tqwt_energy_dec_7,(13.837504088155416+0j)
det_LT_entropy_log_9_coef,(13.836352065349512+0j)
tqwt_energy_dec_32,(13.836296181324858+0j)
det_LT_entropy_shannon_5_coef,(13.835642985203208+0j)
tqwt_TKEO_mean_dec_14,(13.835152327523648+0j)
tqwt_medianValue_dec_28,(13.834746843308526+0j)
tqwt_energy_dec_9,(13.83309432706954+0j)
tqwt_meanValue_dec_20,(13.831935520138458+0j)
det_LT_entropy_shannon_7_coef,(13.83175808527264+0j)
tqwt_medianValue_dec_14,(13.83085100788665+0j)
tqwt_medianValue_dec_35,(13.830475959909663+0j)
tqwt_medianValue_dec_18,(13.83035270695406+0j)
tqwt_skewnessValue_dec_4,(13.828655778437406+0j)
tqwt_medianValue_dec_16,(13.828379617016505+0j)
tqwt_meanValue_dec_21,(13.827601946104224+0j)
mean_8th_delta_delta,(13.827239449942658+0j)
tqwt_energy_dec_17,(13.827037178081985+0j)
tqwt_meanValue_dec_32,(13.826905845814064+0j)
tqwt_energy_dec_10,(13.826694258894882+0j)
tqwt_energy_dec_36,(13.826653186044492+0j)
tqwt_entropy_log_dec_26,(9.475278483198629+0j)
tqwt_stdValue_dec_26,(9.225005156280107+0j)
tqwt_maxValue_dec_18,(9.210094181368717+0j)
tqwt_minValue_dec_19,(9.181908670188388+0j)
tqwt_minValue_dec_26,(9.177568347247064+0j)
tqwt_maxValue_dec_19,(9.169576889274422+0j)
tqwt_stdValue_dec_25,(9.04840316129986+0j)
tqwt_entropy_log_dec_25,(9.035143624947638+0j)
tqwt_minValue_dec_25,(9.014498914109797+0j)
tqwt_maxValue_dec_20,(9.005245378441444+0j)
tqwt_minValue_dec_21,(8.950829897547617+0j)
tqwt_entropy_log_dec_21,(8.937973713843107+0j)
tqwt_maxValue_dec_21,(8.922569307387796+0j)
tqwt_entropy_log_dec_19,(8.885941930166492+0j)
tqwt_entropy_shannon_dec_21,(8.87476179870161+0j)
tqwt_stdValue_dec_21,(8.83500484436539+0j)
tqwt_stdValue_dec_18,(8.77581776677194+0j)
tqwt_TKEO_std_dec_18,(8.769460058349438+0j)
meanIntensity,(8.769187632574074+0j)
tqwt_entropy_shannon_dec_22,(8.752509863371946+0j)
tqwt_stdValue_dec_20,(8.752252007103056+0j)
tqwt_maxValue_dec_9,(8.72950739331016+0j)
minIntensity,(8.714250178861935+0j)
tqwt_minValue_dec_9,(8.707137076642429+0j)
tqwt_entropy_log_dec_27,(8.678070514332557+0j)
tqwt_entropy_shannon_dec_19,(8.67795851844221+0j)
