Feature_Name,UDFS_Importance_Value
app_LT_entropy_shannon_10_coef,0.6698347677511665
app_entropy_shannon_10_coef,0.6689478118252961
app_LT_entropy_shannon_9_coef,0.6668104688833973
app_entropy_shannon_9_coef,0.6667472679443491
app_entropy_shannon_8_coef,0.6642136715592064
app_LT_entropy_shannon_8_coef,0.6633786995976901
app_LT_entropy_log_10_coef,3.4276299034110755e-05
app_LT_entropy_log_8_coef,1.4044268913498458e-05
det_TKEO_mean_10_coef,4.109232450301054e-06
app_LT_entropy_log_9_coef,1.611781659246533e-06
app_TKEO_std_9_coef,1.144830561490582e-06
app_entropy_log_4_coef,1.022554146623256e-06
det_entropy_shannon_2_coef,9.146190511136313e-07
det_entropy_shannon_1_coef,5.487740161383815e-07
app_LT_TKEO_std_7_coef,5.2837823138934e-07
app_entropy_log_6_coef,4.640655374499339e-07
app_det_TKEO_mean_10_coef,4.628340610160663e-07
Ed2_9_coef,4.6235678442138454e-07
det_entropy_shannon_9_coef,4.2216030385710433e-07
app_TKEO_std_3_coef,4.21854281878932e-07
app_LT_entropy_log_5_coef,4.207648274115412e-07
Ed_1_coef,3.4898620076603816e-07
app_entropy_log_10_coef,3.308773754568387e-07
det_LT_TKEO_std_10_coef,3.219198843345792e-07
app_TKEO_std_2_coef,3.0801444651891234e-07
app_det_TKEO_mean_4_coef,2.754396274014707e-07
app_TKEO_std_6_coef,2.598757239666522e-07
Ed_9_coef,2.488895293445496e-07
Ed_2_coef,2.3440829397142428e-07
app_LT_TKEO_mean_2_coef,2.2848174369755666e-07
app_TKEO_std_4_coef,2.0597852112207415e-07
Ed2_1_coef,1.7461648894644495e-07
app_LT_TKEO_std_2_coef,1.7300741336392776e-07
app_entropy_log_8_coef,1.612638478587474e-07
det_TKEO_std_9_coef,1.518105752592411e-07
tqwt_TKEO_mean_dec_33,1.2788872326625754e-07
det_LT_TKEO_mean_10_coef,1.1816188190651835e-07
det_LT_TKEO_std_9_coef,1.1591108733709926e-07
det_TKEO_mean_8_coef,1.1218538441109021e-07
det_LT_TKEO_mean_1_coef,1.1012817976117064e-07
app_LT_entropy_log_7_coef,1.069774777910141e-07
Ed2_10_coef,1.0605369615868724e-07
app_entropy_shannon_1_coef,8.496249813325885e-08
app_LT_TKEO_std_3_coef,8.438860185606727e-08
det_TKEO_std_6_coef,8.358204737086836e-08
tqwt_TKEO_mean_dec_32,8.292559580397585e-08
det_TKEO_mean_7_coef,8.006115254346795e-08
det_TKEO_mean_1_coef,7.114172038925083e-08
det_entropy_shannon_6_coef,6.420402051456826e-08
app_entropy_log_9_coef,6.220772183440704e-08
det_entropy_shannon_8_coef,4.8395315747084167e-08
tqwt_entropy_shannon_dec_32,4.706748209204631e-08
det_TKEO_mean_3_coef,4.6482373459297675e-08
Ed2_2_coef,4.5677060054758574e-08
det_entropy_shannon_3_coef,4.512509944558335e-08
app_TKEO_std_10_coef,4.311255607186471e-08
tqwt_stdValue_dec_3,3.7346038838364175e-08
det_entropy_shannon_10_coef,3.6590389752061886e-08
det_TKEO_std_2_coef,3.643325999300643e-08
Ed_8_coef,3.409884592350374e-08
app_entropy_shannon_2_coef,3.3295005072306133e-08
tqwt_stdValue_dec_27,3.030444700988087e-08
Ed2_6_coef,2.884521471327421e-08
app_det_TKEO_mean_3_coef,2.8440139310294178e-08
tqwt_stdValue_dec_4,2.8406669022285527e-08
det_TKEO_std_8_coef,2.8053046105304176e-08
tqwt_entropy_shannon_dec_33,2.55170500506768e-08
app_TKEO_std_1_coef,2.419963023439545e-08
app_LT_TKEO_std_6_coef,2.407340405746321e-08
det_TKEO_std_3_coef,2.313352438674948e-08
app_LT_entropy_log_4_coef,2.219462696104761e-08
app_det_TKEO_mean_1_coef,2.1325927033647793e-08
det_LT_entropy_log_7_coef,2.0465509547684455e-08
det_entropy_shannon_7_coef,2.0165905376182485e-08
tqwt_entropy_shannon_dec_2,1.9596205570120756e-08
Ea2,1.9209273112130213e-08
tqwt_energy_dec_33,1.8855170628197833e-08
tqwt_stdValue_dec_28,1.8715048225845074e-08
tqwt_entropy_log_dec_4,1.8192188951523513e-08
tqwt_entropy_log_dec_3,1.8105627055233662e-08
app_LT_TKEO_std_1_coef,1.744570287591217e-08
tqwt_TKEO_mean_dec_2,1.7409115374147662e-08
app_LT_entropy_log_1_coef,1.69331879514891e-08
det_entropy_log_7_coef,1.6301328315898963e-08
det_LT_entropy_log_5_coef,1.548951745887339e-08
det_LT_entropy_log_10_coef,1.4591666965462537e-08
det_TKEO_mean_4_coef,1.4523937270530092e-08
det_entropy_log_10_coef,1.393856832590363e-08
det_entropy_log_5_coef,1.3919901186472597e-08
det_LT_TKEO_std_6_coef,1.3883977958329797e-08
Ed_3_coef,1.2677319774960188e-08
tqwt_stdValue_dec_5,1.2559505889468094e-08
Ed2_3_coef,1.2270832919558063e-08
app_entropy_log_2_coef,1.204743224651057e-08
Ed_4_coef,1.1761696623437606e-08
tqwt_entropy_shannon_dec_10,1.048143784086925e-08
Ed_5_coef,1.0463892928215815e-08
det_LT_TKEO_mean_9_coef,1.0289938509981258e-08
det_TKEO_mean_9_coef,9.81797541487537e-09
tqwt_TKEO_mean_dec_27,9.778997739080325e-09
tqwt_entropy_shannon_dec_7,9.64103062507806e-09
det_TKEO_std_10_coef,9.477960914915357e-09
app_entropy_shannon_3_coef,9.477715500071173e-09
det_LT_TKEO_std_2_coef,9.085670879870871e-09
app_LT_TKEO_std_9_coef,8.409530258423111e-09
tqwt_TKEO_std_dec_35,8.372319917006764e-09
tqwt_entropy_log_dec_5,8.142298589918009e-09
tqwt_TKEO_mean_dec_8,8.00344078057255e-09
tqwt_TKEO_std_dec_32,7.816283426569287e-09
tqwt_maxValue_dec_20,7.67960766662133e-09
app_TKEO_std_7_coef,7.591926012726745e-09
det_LT_TKEO_mean_4_coef,7.358204522493381e-09
tqwt_energy_dec_6,7.227059613364917e-09
det_TKEO_std_4_coef,7.0935903697006536e-09
det_entropy_log_2_coef,7.079074769503434e-09
tqwt_TKEO_mean_dec_10,6.568431051115146e-09
tqwt_energy_dec_32,6.50298296425961e-09
tqwt_stdValue_dec_17,6.221632248596939e-09
det_entropy_shannon_4_coef,6.020469949091173e-09
app_LT_TKEO_mean_1_coef,5.481912848395088e-09
det_LT_entropy_log_2_coef,5.459558258409694e-09
tqwt_kurtosisValue_dec_23,5.372244705764096e-09
tqwt_TKEO_std_dec_31,5.240092221162547e-09
det_TKEO_mean_2_coef,5.2313278716327096e-09
det_TKEO_std_5_coef,5.192608420925818e-09
det_TKEO_mean_5_coef,4.923703547577143e-09
Ed2_8_coef,4.704852962471803e-09
det_LT_entropy_shannon_4_coef,4.56806146146798e-09
tqwt_TKEO_std_dec_34,4.546922130968474e-09
tqwt_stdValue_dec_21,4.54351490159936e-09
tqwt_TKEO_mean_dec_31,4.492176563146725e-09
tqwt_maxValue_dec_29,4.436836063599956e-09
tqwt_kurtosisValue_dec_4,4.299291415317592e-09
tqwt_TKEO_mean_dec_35,4.196317026321686e-09
app_LT_TKEO_std_8_coef,4.15737604302687e-09
tqwt_TKEO_std_dec_2,4.156010553027083e-09
tqwt_TKEO_mean_dec_29,4.0414704772947515e-09
tqwt_entropy_log_dec_6,4.026572216953688e-09
det_LT_TKEO_std_8_coef,4.00461834575837e-09
app_LT_TKEO_std_5_coef,4.003712187646305e-09
det_LT_TKEO_std_3_coef,3.6778539581153545e-09
tqwt_TKEO_mean_dec_5,3.6403290249834755e-09
tqwt_entropy_shannon_dec_13,3.6051087503694476e-09
tqwt_entropy_log_dec_2,3.2934724820306938e-09
tqwt_stdValue_dec_26,3.1875012920808383e-09
tqwt_TKEO_std_dec_8,2.9966653835719113e-09
tqwt_entropy_shannon_dec_29,2.9640440641939616e-09
tqwt_stdValue_dec_10,2.9346763872382775e-09
tqwt_TKEO_mean_dec_9,2.9261166463224013e-09
tqwt_entropy_shannon_dec_4,2.889396727215924e-09
